ix,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30823,2015-329,Tokyo,Hard,32,A,20151005,1,104527,1,,Stanislas Wawrinka,R,183,SUI,30.5215605749,4,6005,103285,,PR,Radek Stepanek,R,185,CZE,36.8542094456,255,187,7-5 6-3,3,R32,,11,2,57,37,30,12,11,0,1,2,2,71,46,33,10,10,2,5
30824,2015-329,Tokyo,Hard,32,A,20151005,2,105147,,WC,Tatsuma Ito,R,180,JPN,27.3812457221,127,444,106415,,WC,Yoshihito Nishioka,L,,JPN,20.0219028063,148,377,3-6 6-0 7-5,3,R32,,5,3,93,44,27,25,14,9,14,1,4,96,52,25,23,13,12,19
30825,2015-329,Tokyo,Hard,32,A,20151005,3,105572,,Q,Austin Krajicek,L,,USA,25.3032169747,124,450,105051,,Q,Matthew Ebden,R,188,AUS,27.8576317591,131,430,5-7 7-6(4) 7-6(5),3,R32,,10,3,128,80,65,22,18,4,7,15,7,128,74,60,27,18,9,11
30826,2015-329,Tokyo,Hard,32,A,20151005,4,105311,,,Joao Sousa,R,,POR,26.5160848734,45,951,103852,7,,Feliciano Lopez,L,188,ESP,34.0396988364,15,2040,6-4 4-6 6-1,3,R32,,7,1,83,52,38,17,14,4,6,9,5,85,42,27,21,13,4,8
30827,2015-329,Tokyo,Hard,32,A,20151005,5,104468,3,,Gilles Simon,R,183,FRA,30.7707049966,10,2530,104022,,Q,Mikhail Youzhny,R,183,RUS,33.2785763176,92,581,6-4 6-4,3,R32,,1,1,67,37,26,17,10,4,6,0,5,61,33,24,10,10,1,5
30828,2015-329,Tokyo,Hard,32,A,20151005,6,106210,,,Jiri Vesely,L,,CZE,22.2368240931,40,1042,106034,,WC,Yasutaka Uchiyama,R,,JPN,23.1649555099,229,216,6-4 6-4,3,R32,,5,3,66,42,31,12,10,7,8,10,0,50,32,24,9,10,0,3
30829,2015-329,Tokyo,Hard,32,A,20151005,7,104871,,,Jeremy Chardy,R,188,FRA,28.643394935,27,1365,105032,,,Samuel Groth,R,,AUS,27.961670089,53,843,6-3 2-0 RET,3,R32,,2,1,23,16,15,5,5,0,0,8,5,43,22,15,7,6,5,8
30830,2015-329,Tokyo,Hard,32,A,20151005,8,104180,,,Gilles Muller,L,193,LUX,32.4079397673,43,1005,104731,5,,Kevin Anderson,R,203,RSA,29.3826146475,12,2430,6-2 6-3,3,R32,,7,3,54,28,22,17,9,4,4,4,5,46,19,15,9,8,2,5
30831,2015-329,Tokyo,Hard,32,A,20151005,9,105332,,,Benoit Paire,R,196,FRA,26.4093086927,32,1187,105777,8,,Grigor Dimitrov,R,188,BUL,24.3887748118,21,1555,6-4 3-6 6-1,3,R32,,11,4,92,46,39,21,13,12,13,3,5,73,49,37,10,13,1,4
30832,2015-329,Tokyo,Hard,32,A,20151005,10,104571,,,Marcos Baghdatis,R,183,CYP,30.2997946612,49,907,104269,,,Fernando Verdasco,L,188,ESP,31.8877481177,41,1020,7-5 6-1,3,R32,,6,1,69,41,30,15,10,4,5,4,0,46,27,15,10,9,1,5
30833,2015-329,Tokyo,Hard,32,A,20151005,11,106401,,,Nick Kyrgios,R,,AUS,20.4407939767,34,1125,105077,,,Albert Ramos,L,188,ESP,27.7152635181,71,703,6-7(3) 6-3 6-3,3,R32,,12,3,88,50,40,22,15,1,2,7,3,105,65,43,20,15,11,15
30834,2015-329,Tokyo,Hard,32,A,20151005,12,105138,,,Roberto Bautista Agut,R,,ESP,27.4743326489,22,1510,104755,4,,Richard Gasquet,R,185,FRA,29.2977412731,11,2445,6-4 6-1,3,R32,,4,3,44,23,17,10,8,3,5,3,1,63,33,19,11,9,7,13
30835,2015-329,Tokyo,Hard,32,A,20151005,13,105227,6,,Marin Cilic,R,198,CRO,27.0171115674,14,2270,105385,,Q,Donald Young,L,183,USA,26.2012320329,51,861,7-5 5-7 6-4,3,R32,,13,3,115,56,47,24,17,6,9,5,7,129,63,44,31,17,10,14
30836,2015-329,Tokyo,Hard,32,A,20151005,14,105449,,,Steve Johnson,R,188,USA,25.7796030116,48,915,106071,,,Bernard Tomic,R,193,AUS,22.9541409993,20,1575,6-3 2-1 RET,3,R32,,8,2,31,17,14,8,6,1,2,2,1,40,19,13,6,6,3,6
30837,2015-329,Tokyo,Hard,32,A,20151005,15,105023,,,Sam Querrey,R,198,USA,27.9945242984,50,900,105238,,,Alexandr Dolgopolov,R,180,UKR,26.9075975359,35,1125,7-6(5) 6-4,3,R32,,6,0,65,37,27,19,11,1,2,3,3,74,50,34,11,11,1,3
30838,2015-329,Tokyo,Hard,32,A,20151005,16,105453,2,,Kei Nishikori,R,178,JPN,25.7659137577,6,4540,106432,,,Borna Coric,R,,CRO,18.8884325804,38,1076,2-6 6-1 6-2,3,R32,,6,4,83,40,29,22,12,8,10,3,3,85,57,34,11,11,8,12
30839,2015-329,Tokyo,Hard,32,A,20151005,17,104527,1,,Stanislas Wawrinka,R,183,SUI,30.5215605749,4,6005,105147,,WC,Tatsuma Ito,R,180,JPN,27.3812457221,127,444,6-3 2-6 6-4,3,R16,,7,1,92,48,35,23,14,5,8,5,0,82,51,37,14,13,4,7
30840,2015-329,Tokyo,Hard,32,A,20151005,18,105572,,Q,Austin Krajicek,L,,USA,25.3032169747,124,450,105311,,,Joao Sousa,R,,POR,26.5160848734,45,951,2-6 6-4 6-3,3,R16,,11,4,100,71,51,11,14,8,10,10,2,91,53,41,16,13,5,7
30841,2015-329,Tokyo,Hard,32,A,20151005,19,104468,3,,Gilles Simon,R,183,FRA,30.7707049966,10,2530,106210,,,Jiri Vesely,L,,CZE,22.2368240931,40,1042,6-4 6-2,3,R16,,4,2,57,42,29,7,9,5,7,4,2,62,36,18,13,9,4,9
30842,2015-329,Tokyo,Hard,32,A,20151005,20,104180,,,Gilles Muller,L,193,LUX,32.4079397673,43,1005,104871,,,Jeremy Chardy,R,188,FRA,28.643394935,27,1365,7-6(3) 7-6(5),3,R16,,17,5,85,51,45,17,12,7,7,5,6,85,46,39,22,12,2,2
30843,2015-329,Tokyo,Hard,32,A,20151005,21,105332,,,Benoit Paire,R,196,FRA,26.4093086927,32,1187,104571,,,Marcos Baghdatis,R,183,CYP,30.2997946612,49,907,6-3 2-6 7-5,3,R16,,5,9,83,41,34,18,15,3,7,4,3,96,55,36,19,14,4,8
30844,2015-329,Tokyo,Hard,32,A,20151005,22,106401,,,Nick Kyrgios,R,,AUS,20.4407939767,34,1125,105138,,,Roberto Bautista Agut,R,,ESP,27.4743326489,22,1510,6-4 6-2,3,R16,,8,0,45,27,23,14,9,0,0,3,1,49,32,23,6,9,1,4
30845,2015-329,Tokyo,Hard,32,A,20151005,23,105227,6,,Marin Cilic,R,198,CRO,27.0171115674,14,2270,105449,,,Steve Johnson,R,188,USA,25.7796030116,48,915,6-3 6-3,3,R16,,5,2,56,33,25,17,9,5,5,3,2,63,42,27,7,9,6,9
30846,2015-329,Tokyo,Hard,32,A,20151005,24,105453,2,,Kei Nishikori,R,178,JPN,25.7659137577,6,4540,105023,,,Sam Querrey,R,198,USA,27.9945242984,50,900,7-6(3) 6-3,3,R16,,7,1,52,36,33,10,10,0,0,10,2,71,40,28,16,11,1,3
30847,2015-329,Tokyo,Hard,32,A,20151005,25,104527,1,,Stanislas Wawrinka,R,183,SUI,30.5215605749,4,6005,105572,,Q,Austin Krajicek,L,,USA,25.3032169747,124,450,6-3 6-4,3,QF,,9,1,61,32,26,18,10,2,2,4,2,47,30,24,8,9,2,4
30848,2015-329,Tokyo,Hard,32,A,20151005,26,104180,,,Gilles Muller,L,193,LUX,32.4079397673,43,1005,104468,3,,Gilles Simon,R,183,FRA,30.7707049966,10,2530,6-3 6-4,3,QF,,8,5,79,38,32,17,10,7,8,2,2,62,40,26,9,9,1,4
30849,2015-329,Tokyo,Hard,32,A,20151005,27,105332,,,Benoit Paire,R,196,FRA,26.4093086927,32,1187,106401,,,Nick Kyrgios,R,,AUS,20.4407939767,34,1125,3-6 6-4 6-1,3,QF,,10,10,77,34,31,19,13,2,4,5,4,92,61,44,9,13,8,12
30850,2015-329,Tokyo,Hard,32,A,20151005,28,105453,2,,Kei Nishikori,R,178,JPN,25.7659137577,6,4540,105227,6,,Marin Cilic,R,198,CRO,27.0171115674,14,2270,3-6 7-5 6-3,3,QF,,4,1,79,44,33,26,15,2,3,23,3,96,62,48,17,15,7,9
30851,2015-329,Tokyo,Hard,32,A,20151005,29,104527,1,,Stanislas Wawrinka,R,183,SUI,30.5215605749,4,6005,104180,,,Gilles Muller,L,193,LUX,32.4079397673,43,1005,6-4 7-6(5),3,SF,,8,0,64,34,26,21,11,1,3,6,6,79,49,32,17,11,3,6
30852,2015-329,Tokyo,Hard,32,A,20151005,30,105332,,,Benoit Paire,R,196,FRA,26.4093086927,32,1187,105453,2,,Kei Nishikori,R,178,JPN,25.7659137577,6,4540,1-6 6-4 6-2,3,SF,,11,5,88,51,37,17,12,7,9,4,2,82,52,41,11,13,3,6
30853,2015-329,Tokyo,Hard,32,A,20151005,31,104527,1,,Stanislas Wawrinka,R,183,SUI,30.5215605749,4,6005,105332,,,Benoit Paire,R,196,FRA,26.4093086927,32,1187,6-2 6-4,3,F,,4,1,58,31,20,19,9,3,4,6,1,52,22,19,11,9,0,4
30854,2015-429,Stockholm,Hard,28,A,20151019,1,100644,,,Alexander Zverev,R,,GER,18.4969199179,83,627,144707,,WC,Mikael Ymer,R,,SWE,17.1088295688,617,49,7-6(9) 6-7(5) 6-4,3,R32,,7,7,106,67,49,22,17,3,6,3,5,104,68,46,18,17,0,4
30855,2015-429,Stockholm,Hard,28,A,20151019,2,104597,,LL,Nicolas Almagro,R,183,ESP,30.160164271,73,668,103813,,WC,Jarkko Nieminen,L,185,FIN,34.2395619439,145,391,3-6 7-6(6) 6-4,3,R32,,15,4,89,49,45,18,15,0,1,4,0,117,74,57,21,16,7,8
30856,2015-429,Stockholm,Hard,28,A,20151019,3,105777,5,,Grigor Dimitrov,R,188,BUL,24.4271047228,26,1405,105936,,Q,Filip Krajinovic,R,185,SRB,23.6413415469,94,571,7-5 6-3,3,R32,,14,1,64,41,35,10,11,4,6,0,3,61,36,22,11,10,4,8
30857,2015-429,Stockholm,Hard,28,A,20151019,4,104571,,,Marcos Baghdatis,R,183,CYP,30.3381245722,46,943,105023,,,Sam Querrey,R,198,USA,28.0328542094,51,835,7-6(2) 6-1,3,R32,,7,3,66,38,31,17,10,1,1,5,2,58,29,20,16,9,1,3
30858,2015-429,Stockholm,Hard,28,A,20151019,5,105357,,,John Millman,R,183,AUS,26.3463381246,76,661,103794,,,Benjamin Becker,R,178,GER,34.340862423,87,615,7-6(2) 6-3,3,R32,,5,1,68,41,30,17,10,4,5,3,3,63,32,21,18,11,2,5
30859,2015-429,Stockholm,Hard,28,A,20151019,6,104180,8,,Gilles Muller,L,193,LUX,32.4462696783,37,1105,104999,,Q,Mischa Zverev,L,190,GER,28.1587953457,224,223,6-3 6-7(2) 6-1,3,R32,,16,1,99,65,50,17,15,8,10,3,2,86,57,37,15,13,4,9
30860,2015-429,Stockholm,Hard,28,A,20151019,7,106058,7,,Jack Sock,R,185,USA,23.0663928816,32,1210,105807,,,Pablo Carreno Busta,R,,ESP,24.2710472279,60,789,6-3 6-7(1) 6-3,3,R32,,11,6,107,65,53,18,16,5,6,5,3,89,56,39,18,14,4,7
30861,2015-429,Stockholm,Hard,28,A,20151019,8,104269,,,Fernando Verdasco,L,188,ESP,31.9260780287,44,1005,106045,,,Denis Kudla,R,180,USA,23.1704312115,68,746,6-4 6-4,3,R32,,1,1,46,35,29,9,10,0,1,5,3,66,45,29,8,10,0,3
30862,2015-429,Stockholm,Hard,28,A,20151019,9,104919,,,Leonardo Mayer,R,188,ARG,28.4298425736,36,1115,109739,,Q,Maximilian Marterer,L,,GER,20.3449691992,243,202,6-7(4) 6-2 6-2,3,R32,,5,5,88,52,43,20,14,4,4,7,5,82,45,33,20,14,1,5
30863,2015-429,Stockholm,Hard,28,A,20151019,10,104871,6,,Jeremy Chardy,R,188,FRA,28.681724846,29,1390,106423,,,Thanasi Kokkinakis,R,,AUS,19.523613963,74,664,7-5 4-6 7-5,3,R32,,8,13,95,56,46,22,17,6,8,17,3,98,51,41,26,17,3,6
30864,2015-429,Stockholm,Hard,28,A,20151019,11,105643,,,Federico Delbonis,L,190,ARG,25.0376454483,55,811,105302,,Q,Ante Pavic,U,,CRO,26.6173853525,656,42,3-6 6-3 7-5,3,R32,,10,3,89,57,47,15,15,7,8,7,5,104,61,47,20,15,4,6
30865,2015-429,Stockholm,Hard,28,A,20151019,12,104327,,,Steve Darcis,R,178,BEL,31.6002737851,81,636,105173,,,Adrian Mannarino,L,183,FRA,27.3045859001,42,1015,7-6(4) 6-4,3,R32,,2,2,64,29,21,25,11,1,2,7,1,81,52,35,12,11,13,15
30866,2015-429,Stockholm,Hard,28,A,20151019,13,104607,1,WC,Tomas Berdych,R,196,CZE,30.0862422998,5,4840,100644,,,Alexander Zverev,R,,GER,18.4969199179,83,627,6-3 6-4,3,R16,,7,1,60,33,25,13,10,2,4,3,2,57,29,20,11,9,4,8
30867,2015-429,Stockholm,Hard,28,A,20151019,14,105777,5,,Grigor Dimitrov,R,188,BUL,24.4271047228,26,1405,104597,,LL,Nicolas Almagro,R,183,ESP,30.160164271,73,668,6-2 6-4,3,R16,,11,0,43,28,26,10,9,0,0,2,6,56,23,17,18,9,1,4
30868,2015-429,Stockholm,Hard,28,A,20151019,15,104571,,,Marcos Baghdatis,R,183,CYP,30.3381245722,46,943,106071,4,,Bernard Tomic,R,193,AUS,22.9924709103,18,1675,7-6(7) 6-3,3,R16,,15,5,74,45,34,14,11,4,6,6,4,70,48,28,12,10,0,3
30869,2015-429,Stockholm,Hard,28,A,20151019,16,104180,8,,Gilles Muller,L,193,LUX,32.4462696783,37,1105,105357,,,John Millman,R,183,AUS,26.3463381246,76,661,7-5 6-3,3,R16,,14,2,62,39,34,12,11,2,3,0,0,55,35,26,10,10,1,4
30870,2015-429,Stockholm,Hard,28,A,20151019,17,106058,7,,Jack Sock,R,185,USA,23.0663928816,32,1210,104269,,,Fernando Verdasco,L,188,ESP,31.9260780287,44,1005,7-6(5) 6-7(5) 6-4,3,R16,,10,3,107,63,54,23,17,2,4,9,2,114,76,56,22,17,4,7
30871,2015-429,Stockholm,Hard,28,A,20151019,18,104468,3,,Gilles Simon,R,183,FRA,30.8090349076,15,2065,104919,,,Leonardo Mayer,R,188,ARG,28.4298425736,36,1115,6-2 6-4,3,R16,,2,3,60,39,27,12,9,2,3,4,1,54,36,24,5,9,2,6
30872,2015-429,Stockholm,Hard,28,A,20151019,19,104871,6,,Jeremy Chardy,R,188,FRA,28.681724846,29,1390,105643,,,Federico Delbonis,L,190,ARG,25.0376454483,55,811,6-3 7-6(2),3,R16,,4,4,61,40,34,12,11,1,2,2,2,77,44,31,14,10,4,6
30873,2015-429,Stockholm,Hard,28,A,20151019,20,104755,2,,Richard Gasquet,R,185,FRA,29.3360711841,12,2490,104327,,,Steve Darcis,R,178,BEL,31.6002737851,81,636,6-1 2-0 RET,3,R16,,4,0,26,17,14,6,5,0,0,0,1,22,13,4,4,4,0,3
30874,2015-429,Stockholm,Hard,28,A,20151019,21,104607,1,WC,Tomas Berdych,R,196,CZE,30.0862422998,5,4840,105777,5,,Grigor Dimitrov,R,188,BUL,24.4271047228,26,1405,7-5 6-4,3,QF,,7,2,63,35,30,17,11,2,2,6,3,65,44,34,10,11,4,6
30875,2015-429,Stockholm,Hard,28,A,20151019,22,104571,,,Marcos Baghdatis,R,183,CYP,30.3381245722,46,943,104180,8,,Gilles Muller,L,193,LUX,32.4462696783,37,1105,7-6(5) 4-6 6-3,3,QF,,10,3,114,61,47,27,16,5,8,11,4,97,55,46,17,15,3,6
30876,2015-429,Stockholm,Hard,28,A,20151019,23,106058,7,,Jack Sock,R,185,USA,23.0663928816,32,1210,104468,3,,Gilles Simon,R,183,FRA,30.8090349076,15,2065,7-5 7-6(5),3,QF,,8,5,111,71,44,20,12,13,16,4,1,76,45,30,17,12,2,6
30877,2015-429,Stockholm,Hard,28,A,20151019,24,104755,2,,Richard Gasquet,R,185,FRA,29.3360711841,12,2490,104871,6,,Jeremy Chardy,R,188,FRA,28.681724846,29,1390,2-6 6-3 7-6(4),3,QF,,4,4,103,64,40,20,15,6,11,4,4,81,46,31,18,14,1,5
30878,2015-429,Stockholm,Hard,28,A,20151019,25,104607,1,WC,Tomas Berdych,R,196,CZE,30.0862422998,5,4840,104571,,,Marcos Baghdatis,R,183,CYP,30.3381245722,46,943,6-1 RET,3,SF,,5,1,21,11,10,6,4,0,0,1,4,20,10,5,4,3,3,5
30879,2015-429,Stockholm,Hard,28,A,20151019,26,106058,7,,Jack Sock,R,185,USA,23.0663928816,32,1210,104755,2,,Richard Gasquet,R,185,FRA,29.3360711841,12,2490,6-4 6-2,3,SF,,11,1,59,32,23,17,9,4,5,3,1,64,38,21,12,9,4,8
30880,2015-429,Stockholm,Hard,28,A,20151019,27,104607,1,WC,Tomas Berdych,R,196,CZE,30.0862422998,5,4840,106058,7,,Jack Sock,R,185,USA,23.0663928816,32,1210,7-6(1) 6-2,3,F,,9,1,54,31,28,13,10,0,1,8,4,66,43,29,10,10,1,4
30881,2015-439,Umag,Clay,28,A,20150720,1,105542,,Q,Bastian Trinker,U,,AUT,25.1909650924,417,96,104022,,,Mikhail Youzhny,R,183,RUS,33.067761807,90,560,2-6 6-3 6-3,3,R32,,6,4,80,50,38,14,13,5,8,0,3,78,48,32,15,13,2,6
30882,2015-439,Umag,Clay,28,A,20150720,2,103893,,,Paolo Lorenzi,R,183,ITA,33.5934291581,85,586,105401,,Q,Matteo Trevisan,U,,ITA,25.9329226557,451,84,1-6 6-2 7-5,3,R32,,4,3,78,46,30,15,13,5,9,1,4,87,55,35,14,14,2,7
30883,2015-439,Umag,Clay,28,A,20150720,3,104259,6,,Philipp Kohlschreiber,R,178,GER,31.7590691307,42,1025,105053,,,Santiago Giraldo,R,188,COL,27.6440793977,59,790,6-3 6-2,3,R32,,2,1,61,35,25,17,9,5,5,4,3,42,25,19,7,8,4,7
30884,2015-439,Umag,Clay,28,A,20150720,4,105583,,,Dusan Lajovic,R,180,SRB,25.054072553,119,450,111513,,Q,Laslo Djere,R,,SRB,20.1314168378,175,277,6-3 6-3,3,R32,,0,0,57,30,22,17,9,3,4,2,8,76,50,35,6,9,6,10
30885,2015-439,Umag,Clay,28,A,20150720,5,104890,,,Andreas Haider Maurer,R,190,AUT,28.3285420945,61,785,105341,,Q,Thomas Fabbiano,U,,ITA,26.1492128679,209,226,6-3 6-4,3,R32,,4,4,77,45,34,15,10,8,9,0,3,55,40,24,6,9,3,6
30886,2015-439,Umag,Clay,28,A,20150720,6,105373,8,,Martin Klizan,L,190,SVK,26.0232717317,37,1100,105807,,,Pablo Carreno Busta,R,,ESP,24.0219028063,56,825,7-6(3) 6-7(8) 6-1,3,R32,,3,2,106,63,51,24,15,5,6,9,4,130,91,60,20,16,9,13
30887,2015-439,Umag,Clay,28,A,20150720,7,104926,5,,Fabio Fognini,R,178,ITA,28.1560574949,32,1160,106210,,,Jiri Vesely,L,,CZE,22.0260095825,44,945,6-4 6-4,3,R32,,1,4,65,41,25,14,10,4,6,2,1,68,41,28,9,10,7,11
30888,2015-439,Umag,Clay,28,A,20150720,8,106000,,,Damir Dzumhur,R,172,BIH,23.1649555099,100,524,104586,,,Lukas Rosol,R,196,CZE,29.9876796715,54,857,6-3 6-0,3,R32,,0,0,37,21,15,13,7,0,0,1,4,49,24,14,9,8,2,7
30889,2015-439,Umag,Clay,28,A,20150720,9,105311,,,Joao Sousa,R,,POR,26.3052703628,51,881,105888,,WC,Toni Androic,U,,CRO,23.5592060233,363,119,6-2 6-1,3,R32,,3,3,52,33,25,9,7,8,9,1,3,45,22,9,8,8,2,8
30890,2015-439,Umag,Clay,28,A,20150720,10,106432,7,,Borna Coric,R,,CRO,18.6776180698,36,1109,104719,,,Marcel Granollers,R,190,ESP,29.2703627652,71,715,6-3 6-3,3,R32,,1,3,58,30,22,15,9,4,5,0,2,59,35,24,8,9,7,11
